DATE,ICERATES1100USD2Y
2015-02-02,0.713
2015-02-03,0.73
2015-02-04,0.778
2015-02-05,0.777
2015-02-06,0.881
2015-02-09,0.901
2015-02-10,0.912
2015-02-11,0.922
2015-02-12,0.902
2015-02-13,0.887
2015-02-16,.
2015-02-17,0.926
2015-02-18,0.939
2015-02-19,0.879
2015-02-20,0.895
2015-02-23,0.901
2015-02-24,0.885
2015-02-25,0.858
2015-02-26,0.888
2015-02-27,0.882
2015-03-02,0.905
2015-03-03,0.925
2015-03-04,0.916
2015-03-05,0.912
2015-03-06,0.966
2015-03-09,0.962
2015-03-10,0.951
2015-03-11,0.957
2015-03-12,0.929
2015-03-13,0.925
2015-03-16,0.919
2015-03-17,0.925
2015-03-18,0.935
2015-03-19,0.86
2015-03-20,0.845
2015-03-23,0.849
2015-03-24,0.843
2015-03-25,0.825
2015-03-26,0.856
2015-03-27,0.831
2015-03-30,0.821
2015-03-31,0.808
2015-04-01,0.791
2015-04-02,0.803
2015-04-03,.
2015-04-06,.
2015-04-07,0.778
2015-04-08,0.781
2015-04-09,0.804
2015-04-10,0.814
2015-04-13,0.808
2015-04-14,0.766
2015-04-15,0.765
2015-04-16,0.775
2015-04-17,0.778
2015-04-20,0.777
2015-04-21,0.804
2015-04-22,0.813
2015-04-23,0.803
2015-04-24,0.778
2015-04-27,0.785
2015-04-28,0.793
2015-04-29,0.816
2015-04-30,0.857
2015-05-01,0.855
2015-05-04,0.851
2015-05-05,0.878
2015-05-06,0.894
2015-05-07,0.896
2015-05-08,0.838
2015-05-11,0.867
2015-05-12,0.873
2015-05-13,0.833
2015-05-14,0.817
2015-05-15,0.805
2015-05-18,0.826
2015-05-19,0.864
2015-05-20,0.854
2015-05-21,0.844
2015-05-22,0.882
2015-05-25,.
2015-05-26,0.89
2015-05-27,0.893
2015-05-28,0.871
2015-05-29,0.853
2015-06-01,0.865
2015-06-02,0.896
2015-06-03,0.909
2015-06-04,0.905
2015-06-05,0.977
2015-06-08,0.949
2015-06-09,0.974
2015-06-10,0.983
2015-06-11,0.998
2015-06-12,0.978
2015-06-15,0.962
2015-06-16,0.958
2015-06-17,0.986
2015-06-18,0.903
2015-06-19,0.875
2015-06-22,0.905
2015-06-23,0.918
2015-06-24,0.921
2015-06-25,0.927
2015-06-26,0.941
2015-06-29,0.903
2015-06-30,0.898
2015-07-01,0.926
2015-07-02,0.901
2015-07-03,.
2015-07-06,0.876
2015-07-07,0.816
2015-07-08,0.829
2015-07-09,0.829
2015-07-10,0.868
2015-07-13,0.926
2015-07-14,0.889
2015-07-15,0.903
2015-07-16,0.905
2015-07-17,0.929
2015-07-20,0.957
2015-07-21,0.945
2015-07-22,0.944
2015-07-23,0.967
2015-07-24,0.928
2015-07-27,0.907
2015-07-28,0.913
2015-07-29,0.927
2015-07-30,0.971
2015-07-31,0.904
2015-08-03,0.898
2015-08-04,0.91
2015-08-05,0.978
2015-08-06,0.953
2015-08-07,0.976
2015-08-10,0.975
2015-08-11,0.923
2015-08-12,0.878
2015-08-13,0.938
2015-08-14,0.959
2015-08-17,0.946
2015-08-18,0.952
2015-08-19,0.948
2015-08-20,0.893
2015-08-21,0.871
2015-08-24,0.799
2015-08-25,0.818
2015-08-26,0.791
2015-08-27,0.843
2015-08-28,0.832
2015-08-31,0.865
2015-09-01,0.858
2015-09-02,0.852
2015-09-03,0.843
2015-09-04,0.856
2015-09-07,.
2015-09-08,0.854
2015-09-09,0.868
2015-09-10,0.864
2015-09-11,0.852
2015-09-14,0.856
2015-09-15,0.882
2015-09-16,0.896
2015-09-17,0.916
2015-09-18,0.81
2015-09-21,0.823
2015-09-22,0.794
2015-09-23,0.8
2015-09-24,0.769
2015-09-25,0.802
2015-09-28,0.779
2015-09-29,0.763
2015-09-30,0.753
2015-10-01,0.762
2015-10-02,0.689
2015-10-05,0.725
2015-10-06,0.728
2015-10-07,0.748
2015-10-08,0.762
2015-10-09,0.768
2015-10-12,.
2015-10-13,0.754
2015-10-14,0.681
2015-10-15,0.712
2015-10-16,0.723
2015-10-19,0.726
2015-10-20,0.738
2015-10-21,0.73
2015-10-22,0.719
2015-10-23,0.754
2015-10-26,0.754
2015-10-27,0.728
2015-10-28,0.754
2015-10-29,0.84
2015-10-30,0.851
2015-11-02,0.865
2015-11-03,0.881
2015-11-04,0.909
2015-11-05,0.899
2015-11-06,0.984
2015-11-09,0.999
2015-11-10,0.96
2015-11-11,.
2015-11-12,0.97
2015-11-13,0.949
2015-11-16,0.934
2015-11-17,0.969
2015-11-18,0.964
2015-11-19,0.941
2015-11-20,0.95
2015-11-23,0.979
2015-11-24,0.984
2015-11-25,0.993
2015-11-26,.
2015-11-27,0.983
2015-11-30,0.996
2015-12-01,0.975
2015-12-02,0.998
2015-12-03,1.035
2015-12-04,1.035
2015-12-07,1.046
2015-12-08,1.048
2015-12-09,1.059
2015-12-10,1.044
2015-12-11,1.018
2015-12-14,1.014
2015-12-15,1.039
2015-12-16,1.056
2015-12-17,1.093
2015-12-18,1.099
2015-12-21,1.106
2015-12-22,1.109
2015-12-23,1.124
2015-12-24,1.125
2015-12-25,.
2015-12-28,1.132
2015-12-29,1.157
2015-12-30,1.187
2015-12-31,1.162
2016-01-01,.
2016-01-04,1.143
2016-01-05,1.143
2016-01-06,1.116
2016-01-07,1.085
2016-01-08,1.045
2016-01-11,1.024
2016-01-12,1.011
2016-01-13,1.005
2016-01-14,0.968
2016-01-15,0.906
2016-01-18,.
2016-01-19,0.932
2016-01-20,0.866
2016-01-21,0.888
2016-01-22,0.931
2016-01-25,0.933
2016-01-26,0.924
2016-01-27,0.936
2016-01-28,0.895
